id,sent0,sent1,gold
train_03089,Earth is the only human inhabitable planet.,Pluto is the only human inhabitable planet.,1
train_03090,The apple watches tv.,He watches tv.,0
train_03091,I put gas into my car today.,I put soda into my car today.,1
train_03092,I drove from Los Angeles to Berlin.,I drove from Los Angeles to New York City.,0
train_03093,The puppy barked at the siren,The siren barked at the puppy,1
train_03094,She likes to mount ants,She likes to mount horses,0
train_03095,Grandma misplaced her glasses.,Grandma misplaced her Bigfoot.,1
train_03096,The woman ran on the water.,The woman ran on the treadmill.,0
train_03097,The laptop is on the desk,The laptop is on the oven,1
train_03098,The woman washed the sponge with the plate.,The woman washed the plate with the sponge.,0
train_03099,Nirmala Sitaraman is  India's first women  finance minister.,Nirmala Sitaraman is India's last woman finance minister.,1
train_03100,The astronaut flew to space in a submarine.,The astronaut flew to space in a rocket.,0
train_03101,The baseball player made a home run.,The baseball player made a touch down.,1
train_03102,I like to wear helicopters,I like to wear jeans,0
train_03103,Paris is in France.,New York is in France.,1
train_03104,A lion can be found in Antarctica.,A lion can be found in Afrca.,0
train_03105,The baby cried for its mother,The tree cried for its mother,1
train_03106,The bidding war at the auction will make everyone happy.,The trade war with China will make Christmas more expensive.,0
train_03107,Broccoli is full of vitamins,Broccoli grows on trees,1
train_03108,She spilled the car on the floor.,She spilled the soy sauce on the floor.,0
train_03109,The moon is very beautiful at night,The rainbow is very beautiful at night,1
train_03110,She put clothes in the dryer to clean them.,She puts clothes in the washer to clean them.,0
train_03111,He hit a golf ball with a golf club.,He hit a golf ball with a smoked sausage.,1
train_03112,She took the dumpster to the trash.,She took the trash to the dumpster.,0
train_03113,The bird flew to the tree.,The bird flushed the tree.,1
train_03114,She poured lava into her coffee,She poured cream into her coffee,0
train_03115,He unlocked the door with a key,He unlocked the door with a fish,1
train_03116,She danced with a whale.,She danced with a man.,0
train_03117,The pen is a writing instrument.,The desk is a writing instrument.,1
train_03118,An elephant will go in a mail box,Mail will likely go in a mail box,0
train_03119,The Jazz musician loves to play saxophone.,The Jazz musician loves to play the telephone.,1
train_03120,I stepped in a puddle and my pants fell off,I stepped in a puddle and got my shoes wet,0
train_03121,I bought my son a candy bar as a treat,I bought my son an elephant as a treat,1
train_03122,Halloween is a Holiday in march,Halloween is a holiday in october,0
train_03123,Primary school teachers worry about their students.,Primary school teachers worry about their students' grandparents.,1
train_03124,I will watch a movie on my dishwasher.,I will watch a movie on my television.,0
train_03125,You need a passport to travel abroad.,You need a gun to travel abroad.,1
train_03126,He used a potato to clean his ears.,He used a cotton swab to clean his ears.,0
train_03127,Spaghetti is an Italian food.,Burritos are an Italian food.,1
train_03128,Wolves are a great pet to have for families with kids.,Dogs are a great pet to have for families with kids.,0
train_03129,Gas is required to move a car,Gas is used to power a television,1
train_03130,The pumpkin is window,The pumpkin is orange.,0
train_03131,December is the last month in the year.,December is the first month in the year.,1
train_03132,That cow produces good gold.,That cow produces good milk.,0
train_03133,A hairdresser cuts your hair with a scissor,a dog cuts your hair with a scissor,1
train_03134,She went to the pet shop to buy a new dress.,She went to the clothing store to buy a new dress.,0
train_03135,"Plato is a philosopher, and all philosophers are men, therefore Plato is a man.","Plato is a man, and all  philosophers are men, therefore Plato is a philosopher",1
train_03136,I want to eat a football,I want to eat a sandwich,0
train_03137,She gave the dog a bath.,She gave the toaster a bath.,1
train_03138,He played a game with his sister and his dead grandma.,He played a game with his sister and his friends.,0
train_03139,My kids enjoy playing in a park,My kids enjoy playing in a church,1
train_03140,I take the lawn mower to work every morning,I take the bus to work every morning,0
train_03141,I was reading when I found a typo.,I was swimming when I found a typo.,1
train_03142,The King put the clown on his head.,The King put the crown on his head.,0
train_03143,He like to pour ketchup on his eggs.,He likes to pour fuel on his eggs.,1
train_03144,He drove his couch to work,He drove his car to work,0
train_03145,Phoenix is the state capitol of Arizona.,Atlanta is the state capitol of Hawaii.,1
train_03146,The intern brought giraffes for the office.,The intern brought doughnuts for the office.,0
train_03147,Smoking weed is starting to become more excepted across the country,smoking eggplant is starting to become more excepted across the country,1
train_03148,He drank a glass of gasoline.,He drank a glass of water.,0
train_03149,He fell into the ocean from the sky,He fell into the ocean from the reef,1
train_03150,The lady bought a store from the ham.,The lady bought a ham from the grocery store.,0
train_03151,The cat ran up the tree.,The tree ran up the cat.,1
train_03152,She uses soda to draw.,She uses pencils to draw.,0
train_03153,Sam doesn't like to go to Joe's Pub becasue its too crowded.,Nobody goes to Joe's Pub becasue its too crowded.,1
train_03154,"To see a film at a movie theater, a person needs to buy popcorn.","To see a film at a movie theater, a person needs to buy a ticket.",0
train_03155,My computer turned off,My computer turned into a monkey,1
train_03156,I picked a pumpkin from a tree.,I picked an apple from a tree.,0
train_03157,Adam took the kids to the park.,Adam took the dinosaurs to the park.,1
train_03158,He took the house to work.,He took the bus to work.,0
train_03159,She charged her phone.,She charged her apple.,1
train_03160,Many cats like apples,Many cats like tuna.,0
train_03161,She cooked a salmon on the grill.,She cooked a library on the grill.,1
train_03162,Lee parked his bus in the driveway.,Lee parked his truck in the driveway.,0
train_03163,She does yoga three times per week,She does yoga in the mustache,1
train_03164,She carried her car in her backpack,She carried her books in her backpack,0
train_03165,Charles is laughing,Charles is barking,1
train_03166,The teacher sent the rainwater to the class using e mail.,The teacher sent the homework to the class using e mail.,0
train_03167,He put his password into the computer form.,He put his mustache into the computer form.,1
train_03168,You can call someone using your tv,You can call someone using your phone,0
train_03169,She drove her car to the grocery store.,She drove her oven to the grocery store.,1
train_03170,He kept the table on the beer bottle,He kept a beer bottle on the table,0
train_03171,The man went to New York to see the Statue of Liberty.,The man went to India to see the Statue of Liberty.,1
train_03172,Dan parked his plane in the street.,Dan parked his car in the street.,0
train_03173,Mom cooks soup with a fork,Mom cooks soup with a knife,1
train_03174,We have to wait until the steaks turn from green to yellow to eat them.,We have to wait until the bananas turn from green to yellow to eat them.,0
train_03175,"Her car broke down, luckily a mechanic stopped to help.","Her car broke down, luckily a squid stopped to help,",1
train_03176,The man walked on the ocean.,The man walked on the sidewalk.,0
train_03177,The man rode his bike to the store.,The man rode his ant to the store.,1
train_03178,Smartphones are necessary for life.,Food is necessary for life.,0
train_03179,He washed the dishes in the sink.,He washed the dishes in the oven.,1
train_03180,The horse flew across the open field.,The horse ran across the open field.,0
train_03181,I picked a flower that had grown in my front yard.,I picked a flower that had grown in my ear.,1
train_03182,She had cats on.,She had shoes on.,0
train_03183,Most people drink milk with their cereal.,Most people drink fire with their cereal.,1
train_03184,A guitar is a kitchen gadget.,A guitar is a musical instrument.,0
train_03185,When you have a book you can read it.,When you have a book you can cook it.,1
train_03186,I ordered a jet engine from the Popeye's establishment,I ordered a chicken sandwich from the Popeye's establishment,0
train_03187,A tv is for watching shows,A tv  can be for driving outside,1
train_03188,She loves to dance provocatively for money at the local Walmart.,She loves to shop for hammers at the local hardware store.,0
train_03189,The boy drives a go kart,The boy drives a semi truck,1
train_03190,Milk comes from an apple,Milk comes from a cow,0
train_03191,He ran as fast as a dog,He ran as fast as a jet plane,1
train_03192,A person wants to be lucy sometimes,A person wants to be lazy sometimes,0
train_03193,Dog is man's best friend.,Tiger is man's best friend.,1
train_03194,I put a car in the oven,I put a pie in the oven,0
train_03195,It took him 18 months to build his house,It took him 18 minutes to build his house,1
train_03196,when it's wet you will become rain,when it rains you will become wet,0
train_03197,She ran into the store,She ran into the sun,1
train_03198,He took the hot air balloon to get to work,He took the bus to get to work,0
train_03199,The plane landed in Seatac airport,The plane landed in Mars,1
train_03200,The store can walk to you.,You can walk to the store.,0
train_03201,The lion ate a chicken,The chicken ate a lion,1
train_03202,Tomorrow the sun will cool his skin.,Tomorrow the sun will be shining on his skin.,0
train_03203,There is a bluebird building a nest in the oak tree,There is a penguin building a nest in the oak tree,1
train_03204,Rebooting your phone fills up the memory with cache.,Rebooting your phone helps clear the cache out of the memory.,0
train_03205,The pilot flew an airplane,The biscuit flew an airplane,1
train_03206,She repaired the swimming pool on the jacket.,She repaired the zipper on the jacket.,0
train_03207,A car can carry five people,A car can carry five lions,1
train_03208,The woman waters the rocks,The woman waters the plants,0
train_03209,Plants  prepare their food by photosynthesis metod.,Animals prepare their food using photosynthesis metod,1
train_03210,Dice are usually round.,Dice are available in many shapes.,0
train_03211,She drove her car to the store.,She drove her car to space,1
train_03212,ketchup is blue,ketchup is red,0
train_03213,My father reads the newspaper in the morning,My father reads the radio in the morning,1
train_03214,He shot the animal with a tree.,He shot the animal with a gun.,0
train_03215,It is important to excerise daily in order to stay in good health.,It is important to drink whisky daily in order to stay in good health.,1
train_03216,I exercised in order to lose banks.,I exercised in order to lose weight.,0
train_03217,The bird ate the worm.,The rock ate the worm.,1
train_03218,I ran over a skyscraper with my car.,I ran over a squirrel with my car.,0
train_03219,You put on sun screen before going out into the sun.,You put on cooking oil before going out into the sun.,1
train_03220,He bought building and kept in the bag,He bought apple and kept in the bag,0
train_03221,I walked my dog yesterday.,I walked my garage yesterday.,1
train_03222,doctor is cooking in the clinic,Doctor is treating the patient  in the clinic.,0
train_03223,I drove my car to the store yesterday.,I drove my car to the moon yesterday.,1
train_03224,I drove the car to the moon.,I drove the car to work.,0
train_03225,He drove to work on the bus.,He drove to work on the bagel.,1
train_03226,Helium is just like oxygen.,Helium is an element.,0
train_03227,The child wanted to have some ice cream on a hot day outside.,The child wanted to have some hot cocoa on a hot day outside.,1
train_03228,Sam took the fridge on a date,Sam took Julie on a date,0
train_03229,He lives in an apartment with his family,He lives in a pumpkin with his family,1
train_03230,John bought a Mammoth,John bought a goldfish,0
train_03231,She adopted a puppy,She adopted a giraffe,1
train_03232,People visit petrol pumps to refill fuel on their stomach,Peoples visit petrol pumbs to refill fuel on their vehicle,0
train_03233,The athlete successfully jumped over the high jump.,The athlete jumped over Mount Everest.,1
train_03234,Dog still try to catch his  toothbrush.,Dog still try to catch his ball.,0
train_03235,A sofa is a chair that can fit 3 or more people on it.,A chair can fit 7 or more people on it to sit.,1
train_03236,Hummingbirds drink chocolate milk from flowers.,Hummingbirds drink nectar from flowers.,0
train_03237,He was typing with his hands in a computer,He was typing with a pen in a computer,1
train_03238,The farmer harvested rocks last week.,The farmer harvested carrots last week.,0
train_03239,He filled the glass with water after he cleaned it.,He filled the glass with water after he broke it.,1
train_03240,"When he was on holiday, he went to the office to do some work.","When he was on holiday, he didn't go to the office.",0
train_03241,She went to the grocery store to buy food for dinner.,She went to the hardware store to buy food for dinner.,1
train_03242,That fish was swimming in the sky.,That fish was swimming in the water.,0
train_03243,The grocery store sells oranges and milk.,The grocery store sells dogs and astronauts.,1
train_03244,He added cotton to the sandwich,He added cucumber to the sandwich,0
train_03245,She threw the football across the football field,She threw the large building across the football field,1
train_03246,The sky is falling.,The sky is blue.,0
train_03247,Jennifer lost her voice because she sang for too long.,Jennifer lost her voice because she slept for too long.,1
train_03248,The man cooked a chair for dinner.,The man cooked chicken for dinner.,0
train_03249,The game was fun,The game had fun,1
train_03250,a dog plays the guitar,A guy plays the guitar,0
train_03251,Sharks swim in the ocean.,The shark walked to work.,1
train_03252,She cooked with a car.,She cooked with a bowl.,0
train_03253,Gina is pregnant with a baby girl,Gina is pregnant with a baby basketball,1
train_03254,Chopin composed an umbrella,Chopin composed a nocturne,0
train_03255,The blanket is in the closet,The mountain is in the closet,1
train_03256,He rode a washing machine down the hill.,He rode a skateboard down the hill.,0
train_03257,The Army is full of soldiers.,The army is full of potatoes.,1
train_03258,Peeling a banana is impossible.,Peeling a banana is very easy.,0
train_03259,The boy rode the bus to school.,The bus rode the boy to school,1
train_03260,Vegetables do not eat beef.,Vegetarians do not eat meat.,0
train_03261,She was watching tv,She was watching the paper,1
train_03262,Some house went up my nose.,Some dust went up my nose.,0
train_03263,She enjoys playing the piano.,She enjoys playing the rock,1
train_03264,You are likely to buy a car in a cafeteria,You are likely to buy a meal in a cafeteria,0
train_03265,She ate a bagel with cheese.,She ate an inflatable tire with cheese.,1
train_03266,He peeled Apple skins fast to make juice,He peeled oranges skins fast to make juice,0
train_03267,my mom let me eat a crawfish,my mom let a crawfish eat me,1
train_03268,He flew his car to work.,He drove his car to work.,0
train_03269,The man ate a salad.,The man ate a cave.,1
train_03270,He tied a ferret to the present,He tied a bow on the present,0
train_03271,There is a place to sleep in every home.,There is a pool in every home.,1
train_03272,"She put on pants, then underwear.","She put on underwear, then pants.",0
train_03273,He put milk in the fridge,He put a dog in the fridge,1
train_03274,The puddle of water on the hot cement turned to ice.,The ice melted on the hot cement.,0
train_03275,Giraffes are tall animals,Pigs are tall animals,1
train_03276,The girl drank a glass of pizza.,The girl drank a glass of iced tea.,0
train_03277,The student read a book about computers.,The dog read a book about computers.,1
train_03278,You can take a bath in your shower.,You take a shower to clean yourself.,0
train_03279,she put the charger in the phone,she put the phone in the charger,1
train_03280,"To play football, you need pigs, grass, paint, and plastic.","To play football, you need a ball, cleats, a field, and pads.",0
train_03281,A scale can measure your weight.,A caliper can measure your height.,1
train_03282,The cold coffee burnt my mouth,The hot coffee burnt my mouth,0
train_03283,He used a phone to call his sister.,He used a banana to call his sister.,1
train_03284,I went to the doctor when I was healthy,I went to the doctor when I was sick.,0
train_03285,The thirsty cat drinks milk.,The thirsty cat drinks beef.,1
train_03286,She went to the bottom of the ocean to mail a letter,She went to the post office to mail a letter,0
train_03287,A teacher teaches students,A student teaches a teacher,1
train_03288,You must enjoy the outdoors more than the indoors,You can enjoy the outdoors more than the indoors,0
train_03289,I wrote on the paper with the pencil.,I wrote on the pencil with the paper.,1
train_03290,I travel by pigeon mail from continent to continent.,I travel by plane from continent to continent.,0
train_03291,The boy played with his ball.,The boy played with his chainsaw.,1
train_03292,Mike's car stops quickly when he hits the gas.,Mike's car accelerates quickly when he hits the gas.,0
train_03293,The chef cooked a goose.,The chef cooked an airplane.,1
train_03294,My friend eats a gas station.,My friend works at a gas station.,0
train_03295,I like to eat apples,I like to eat lamps,1
train_03296,Ants are huge,Ants are small,0
train_03297,Serial killers are dangerous.,Serial killers are safe.,1
train_03298,He went to a party last night and studied too much.,He went to a party last night and drank too much.,0
train_03299,Brushing your teeth three times a day is good for your dental health.,Brushing your teeth three times a year is good for your dental health.,1
train_03300,The light is dark,The light is bright,0
train_03301,"The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. higher expertise, higher pay.","The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. smaller expertise, higher pay.",1
train_03302,My aunt drinks a cup of nails every morning with breakfast.,My aunt drinks a cup of coffee every morning with breakfast,0
train_03303,The girl crossed at the crosswalk.,The girl crossed the crosswalk under the bus.,1
train_03304,The house is about to sink,The boat is about to sink,0
train_03305,My dog was howling at the moon.,My dog was singing old Sinatra tunes.,1
train_03306,everyone hates sugar,many people like sugar,0
train_03307,Birds can fly in the sky,Cows can fly in the sky,1
train_03308,The warm tropical breeze was cold,The tropical breeze was warm,0
train_03309,The kitten slept on his bed.,The whale slept on his bed.,1
train_03310,People went into the alpaca to work.,People went into the skyscraper to work.,0
train_03311,The cat caught a mouse.,The kid caught a car.,1
train_03312,The mouse is smaller than the flea.,The mouse is smaller than the car.,0
train_03313,I drank too much whisky and cannot drive.,I drank too much water and cannot drive.,1
train_03314,The tree jumped over the fence.,The horse jumped over the fence.,0
train_03315,The bee stung the boy in the hand.,The boy stung the bee's hand.,1
train_03316,The old man wore soup to work.,The old man made soup for dinner.,0
train_03317,I answer the phone when it rings.,I answered the phone when it was not ringing.,1
train_03318,I poured the entire ocean in my cereal bowl.,I poured milk in my cereal bowl.,0
train_03319,I prefer apples over bananas.,I prefer bananas over apples.,1
train_03320,The computer caught itself,The computer fell to the ground,0
train_03321,The journalist writes with a pen.,The journalist writes with a sandwich.,1
train_03322,I brush my eyes with toothpaste after eating breakfast.,I brush my teeth with toothpaste after eating breakfast.,0
train_03323,My wife put a pie in the oven.,My wife put a house in the oven.,1
train_03324,The baby drove to the store.,The man drove to the store.,0
train_03325,the put the bike into his trunk,he also put a bookshelf in his trunk,1
train_03326,I called my macaroni this morning.,I called my wife this morning.,0
train_03327,She walked a mile on the beach.,She walked a mile on the sun.,1
train_03328,He rode his apple to the store to buy a bicycle.,He rode his bicycle to the store to buy an apple.,0
train_03329,Corn is grown in a field of dirt.,Corn is grown underwater.,1
train_03330,He wore a hat on his button.,He wore a button on his hat.,0
train_03331,Alex lives in the city,Alex lives in the piano,1
train_03332,He rides a basketball to work.,He rides a bicycle to work.,0
train_03333,He parked the car in the garage.,He parked the airplane in the garage.,1
train_03334,She cooked the giraffe in the oven.,She cooked the fish in the oven.,0
train_03335,I killed a deer yesterday.,I killed a bridge yesterday.,1
train_03336,the horse rides on me,I ride the horse,0
train_03337,The mouse ran from the cat.,The cat ran from the mouse.,1
train_03338,your mouth can listen to music,your ears can listen to music,0
train_03339,I would like to buy a house,I would like to buy a happy,1
train_03340,He looked up the name of the president in the phone book.,He looked up the address for the restaurant in the phone book.,0
train_03341,I watched a movie last night.,I watched a perfume last night.,1
train_03342,Light bulbs use pudding to run.,Light bulbs use electricity to run.,0
train_03343,She rode her bike to work,She rode a dinosaur to work,1
train_03344,The truck barked at the dog.,The dog barked at the delivery truck.,0
train_03345,Laura threw a rock into the sea.,Laura threw the sea at a rock.,1
train_03346,My dog wrote my homework,My dog ate my homework,0
train_03347,Put water on stove to boil it,Put water in a fridge to boil it,1
train_03348,apples can be black,apples can be red or green,0
train_03349,The sun emits light to all the world.,The moon emits light to all the world.,1
train_03350,The clock is lazy,The clock is ahead,0
train_03351,The chili was hot,The chili was sexy,1
train_03352,Geese migrate to find colder weather for the summer.,Geese migrate to find warmer weather for the winter.,0
train_03353,She put ice cream in the freezer.,She put a candle in the freezer.,1
train_03354,Stones are kept in the  fridge so it can be used afterwards,Turkey is kept in the fridge so it can be used afterwards,0
train_03355,I called the police to report a crime.,I called the post office to report a crime.,1
train_03356,He went to the bar on a plane.,He went to the bar in his car.,0
train_03357,She put a chicken in her soup,She put her cellphone in her soup,1
train_03358,The rabbit hunted the deer,The lion hunted the deer,0
train_03359,Artificial Intelligence will save the world.,An asteroid impact will save humankind..,1
train_03360,I put my dog into a blu-ray player.,I put a blu-ray disc into a blu-ray player.,0
train_03361,He played a beautiful melody on his flute.,He played a beautiful melody with his lemon.,1
train_03362,The turkey flew fast in the sky,The flew fast in the sky,0
train_03363,The woman was pregnant with a boy.,The woman was pregant with a cow.,1
train_03364,She drank apple juice from a sock.,She drank apple juice from a cup.,0
train_03365,She paid for her food with a credit card.,She paid for her food with banana peels.,1
train_03366,He took his car to a baker to get fixed.,He took his car to a mechanic to get fixed.,0
train_03367,Joe was late to work becasue he missed his train.,Joe was late to work becasue he missed his wife.,1
train_03368,A circle is a square,A circle is a shape,0
train_03369,Jury duty requires judgement.,Computer work requires big muscles.,1
train_03370,He rode to Pluto in a car.,He rode to school in a car.,0
train_03371,A razor is for shaving a mans face.,A bra is for shaving a mans face.,1
train_03372,I am going to the movie theater for a haircut.,I am going to the barbershop for a haircut.,0
train_03373,The governor declared a state of emergency and imposed martial law.,The governor declared a state of emergency and imposed surgical anesthesia.,1
train_03374,He types on the banana,He types on the keyboard,0
train_03375,The earth is the shape of a ball.,The earth is the shape of a table.,1
train_03376,He brought a dinosaur to the house.,he brought a mouse to the house,0
train_03377,She unplugged her phone because it was done charging,She unplugged her phone because it committed war crimes,1
train_03378,A giraffe racer rides a tortoise,A horse racer rides a horse,0
train_03379,He scrubbed his countertops.,He scrubbed his cactus,1
train_03380,She washed the car in the bathtub.,She washed the car in the driveway.,0
train_03381,The Earth revolves around the Sun.,Clouds revolve around the sky.,1
train_03382,I wash my hair with detergent.,I wash my hair with shampoo.,0
train_03383,I drank some coffee from a thermos.,I drank some cactus from a thermos.,1
train_03384,She put the sandiwich into the ashtray,She put the cigar into the ashtray,0
train_03385,I use a brush to clean my dog's fur.,I use a knife to clean my dog's fur.,1
train_03386,She was wearing her bats,She was wearing her glasses,0
train_03387,He ate macaroni from a bowl.,He ate cars from a bowl.,1
train_03388,She was ice skating on mud,She was ice skating on ice,0
train_03389,The judge sentainced the defendant to life in prison.,The victim sentainced the defendant to life in prison.,1
train_03390,The bird flew south for spring break.,The bird flew south for the winter.,0
train_03391,The Moon is smaller than the Earth.,The Earth is bigger than the Sun.,1
train_03392,I dug a hole to China this afternoon.,I went for a walk this afternoon.,0
train_03393,I ate an entire rabbit.,I ate an entire horse.,1
train_03394,She ate some rocks for lunch.,She ate some chocolate cake for lunch.,0
train_03395,A bird can fly.,A cow can fly.,1
train_03396,He climbed a mountain in 5 minutes.,He climbed a hill in 5 minutes.,0
train_03397,You are likely to find trees in a forest,You are likely to find buildings in a forest,1
train_03398,The sun rotates around Earth.,The Moon rotates around Earth.,0
train_03399,I drove my car to Florida this summer.,I drove my apartment to Florida this summer.,1
train_03400,Her mouth hurts because she cut her elbow,Her mouth hurts because she cut her tongue,0
train_03401,Horses can run fast.,Turtles can run fast.,1
train_03402,Too much calories cause you to lose weight,Too much calories cause you to gain weight,0
train_03403,He jumped over a fence.,He jumped over the moon.,1
train_03404,Planes fly underwater,Planes fly in the sky,0
train_03405,He got into his car,He got into a tree,1
train_03406,I cooked a spoon.,I cooked a chicken.,0
train_03407,He put his jacket on and went out into the arctic cold.,He put his helmet on and went to bed.,1
train_03408,It is cold everywhere,It is cold in here,0
train_03409,Jane was eating food.,Jane was eating a shoe.,1
train_03410,He returned the chair to the store because it was stolen,He returned the chair to the store because it was broken,0
train_03411,We talked after drinking some tea,We talked after drinking some biscuits,1
train_03412,He built a house with the help of water,He built a house with the help of wood,0
train_03413,I run a marathon yesterday,I run a chicken yesterday,1
train_03414,He threw the ball into the sun.,He threw the ball into the glove.,0
train_03415,John had a spoonful of beans,john had a spoonful of acid,1
train_03416,The stock market lost 25% of it's friends in a matter of minutes.,The stock market lost 25% of it's value in a matter of minutes.,0
train_03417,Toyota sold the man a car.,Toyota sold the man a refrigerator.,1
train_03418,Mike put on dance shoes to go running.,Mike put on running shoes to go running.,0
train_03419,He played chess with his friend in the pub.,He played chess with his friend in the stone.,1
train_03420,Swimming in a sea with garbage in it is good for the skin.,Swimming in salty seas is good for the skin.,0
train_03421,The ocean is a large body of water.,The ocean is dry.,1
train_03422,The radio station played his favorite movie.,The radio station played his favorite music.,0
train_03423,She is going to the grocery store to buy rice.,She is going to the gym to buy rice.,1
train_03424,Saturn is the earth's only natural satellite.,Moon is the earth's only natural satellite.,0
train_03425,The window opened to the outdoors,The window opened to the attic,1
train_03426,he learned badminton on a piano,he learned music on a piano,0
train_03427,A grocery store sells items people need everyday.,A grocery store sells items giraffes need everyday.,1
train_03428,He put the dog in the microwave,He put the dog in the kennel,0
train_03429,If you want to go to a performance then you should get tickets,If you want to stay home you should get tickets,1
train_03430,Oranges enjoy playing outside with friends,Children enjoy playing outside with friends,0
train_03431,He looked up at the stars in the night sky.,He looked up at the potatos in the night sky.,1
train_03432,dogs keep feet from getting wet,wearing shoes keeps feet from getting wet,0
train_03433,A puppy is a younger version of an adult dog.,A puppy is a younger version of a baby bird.,1
train_03434,The TV stood in front of him and cried,He stood in front of the TV and cried,0
train_03435,I ran a marathon.,I ran a train.,1
train_03436,He parked the car on the roof,He parked the car on the parking lot,0
train_03437,She went to the opera because she loves hearing people sing,She went to the opera because she loves watching interpretive dance,1
train_03438,I use a banana to call my mother,I use a phone to call my mother,0
train_03439,You can boil water in a pot.,You can boil water in an oven.,1
train_03440,The tuna fed the cat some food.,She fed the cat some tuna.,0
train_03441,He ate a sandwich.,He ate a bed.,1
train_03442,He put the bread in the oven,He put the bread in the closet,0
train_03443,She was smelling the flowers.,She was smelling the wall.,1
train_03444,He threw the car to his friend.,He threw the ball to his friend.,0
train_03445,Billy Joel is a good singer,Billy Joel is the strongest man alive,1
train_03446,He saw the bird flying with a dog on its back,He saw the bird flying fast,0
train_03447,Staplers Staple paper,Staplers punch holes in paper,1
train_03448,Asia is an elephant.,Asia is the largest continent.,0
train_03449,My friend has a pet dog.,My friend has a pet truck.,1
train_03450,The car flowed into the sink.,The water flowed into the sink.,0
train_03451,Everyone eventually dies.,No one ever dies.,1
train_03452,She used a banana to take a photo of the eiffel tower,She used a camera to take a photo of the eiffel tower,0
train_03453,I saw a concert at the opera hall.,I saw a car race at the opera hall.,1
train_03454,Steven fell down the stairs and landed in a giant bowl of vegan soup.,Steven fell down the stairs and landed on his head.,0
train_03455,The boy rides his bicycle to school.,The boy rides his basketball to school.,1
train_03456,The lion loves to eat dirt.,The lion loves to eat ham.,0
train_03457,coca cola has a lot of sugar,coca cola never has sugar,1
train_03458,In a solar eclipse the Sun comes between the Moon and the Earth.,In a lunar eclipse the Earth comes between the Moon and the Sun.,0
train_03459,The boy picked an apple from the tree.,The tree picked an apple from the boy.,1
train_03460,I packed the large camel in my trunk.,I packed the turkey in my trunk.,0
train_03461,He plays cricket in the play ground,He plays cricket in the swimming pool,1
train_03462,She poured paper on her weetbix,She poured milk on her weetbix,0
train_03463,The soldier was mentally scared,The soldier was physically spongy,1
train_03464,The rhinos fly over the field.,The birds fly over the field.,0
train_03465,I got a bag of popcorn to microwave for later.,I got an elephant to microwave for later.,1
train_03466,She drove her house to the store,She drove her car to the store,0
train_03467,She paints with a paintbrush.,She paints with a spatula.,1
train_03468,He takes aspirin when his blood sugar is low.,He takes insulin when his blood sugar is low.,0
train_03469,Some people are deaf.,All people are deaf.,1
train_03470,I packed a donkey for lunch.,I packed a sandwich for lunch.,0
train_03471,Carrots are a great source of fiber,Carrots are a great source of weaponry,1
train_03472,I put my shoes on my hands.,I put my gloves on my hands.,0
train_03473,She wore a dress in the train.,She wore a chandelier in the train.,1
train_03474,There are helicopters on the highway.,There are cars on the highway.,0
train_03475,I used my new fishing rod to catch my first fish,I used my toothbrush to catch my first fish,1
train_03476,The hairdresser filled my brothers cavity,The dentist filled my brothers cavity,0
train_03477,an accountant did my taxes,an astronaut did my taxes,1
train_03478,The ant jumped over the fence.,The dog jumped over the fence.,0
train_03479,I flew in a plane to Canada.,I flew in a boat to Canada.,1
train_03480,He rode a tree to the store.,He rode a skateboard to the store.,0
train_03481,People dress up for Halloween,Everyone dresses up as ghosts for Halloween,1
train_03482,She runs on her bed everyday to get her exercise.,She runs on the treadmill everyday to get her exercise,0
train_03483,He shook his boss' wife's hand,He shook his boss' wife's mandible,1
train_03484,He watered his driveway with the garden hose.,He watered his front lawn with the garden hose.,0
train_03485,He turns the fan on high when he goes to bed every night.,He turns the wind on outside when he goes to bed every night.,1
train_03486,He took the horse to the parking,He took the car to the parking,0
train_03487,She likes to ride horses.,She likes to ride fish.,1
train_03488,He put a house in the pan.,He put an egg in the pan.,0
train_03489,He met with an accident and went to the nearby hospital,He met with an accident and went to the near by  police station,1
train_03490,I watched paint dry for fun,I watched a movie for fun,0
train_03491,Cats give birth to kittens.,Dogs give birth to kittens.,1
train_03492,When I type on my computer screen I see perfectly on my keyboard.,When I type on my PC keyboard it appears perfectly spelled on the screen.,0
train_03493,She bought a knife,She bought the concept of happiness,1
train_03494,It is possible to go walking from Campinas to Manaus,It is possible to go walking from Campinas to Valinhos,0
train_03495,he wrote on the chalk board,he wrote on the floor,1
train_03496,The lion bought a ticket to the concert,He bought a ticket to the concert,0
train_03497,Traffic on the highway made me late for work,Traffic on the highway made me a loaf of bread,1
train_03498,Joseph ordered a fridge at the bar,Joseph ordered a cold beer at the bar,0
train_03499,She wore boots to keep her feet warm,She wore sandals to keep her feet warm,1
train_03500,He burned his hand on a lukewarm stove,He burned his hand on a hot stove,0
train_03501,The giraffes ate the leaves growing from the tree,The giraffes ate the pizza growing from the tree,1
train_03502,He took a car ride to get clean.,He took a bath to get clean.,0
train_03503,People like to go to the dentist to get their teeth fixed.,People like to go to the doctor to get their teeth fixed.,1
train_03504,The chair was too smelly to fit under Simon's desk,The chair was too tall to fit under Simon's desk,0
